Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
103,1485,137,Sep 4,PHI,@,SDP,W9-7,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.295,.389,.482,.871,4,.54,0.004,.26,0.00%,-0.89,4.00,6.20,DH
104,1486,138,Sep 5,PHI,@,SDP,L0-8,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.293,.388,.478,.866,3,.46,0.024,.18,0.01%,-0.06,2.00,3.00,1B
105,1487,139,Sep 6,PHI,@,SDP,W5-1,CG,5,4,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.293,.388,.478,.866,3,.77,0.190,.37,0.06%,1.63,11.00,16.00,1B
106,1488,140,Sep 8,PHI,,MIA,L2-3,CG,4,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,.294,.391,.478,.869,3,1.29,0.159,.59,0.04%,1.38,14.00,18.50,1B
107,1489,141,Sep 9,PHI,,MIA,W8-4,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.390,.476,.866,3,.52,0.028,.29,0.01%,0.02,5.00,6.20,1B
108,1490,142,Sep 10,PHI,,MIA,L4-5,CG,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.294,.392,.475,.867,3,1.75,0.220,.75,0.06%,0.99,12.00,15.00,DH
109,1491,143,Sep 11 (1),PHI,,ATL,L8-10,CG(10),5,3,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.296,.396,.484,.880,3,1.07,0.510,.57,0.16%,2.18,27.00,37.60,1B
110,1492,144,Sep 11 (2),PHI,,ATL,W7-5,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.294,.395,.480,.875,3,.81,0.033,.56,0.01%,-0.03,4.00,6.20,DH
111,1493,145,Sep 12,PHI,,ATL,L6-7,CG(10),5,3,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.297,.399,.489,.888,4,1.36,0.198,.78,0.07%,2.28,21.00,27.70,1B
112,1494,146,Sep 13,PHI,,ATL,L1-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.295,.398,.486,.883,3,.68,-0.001,.41,0.00%,0.01,2.00,3.00,1B
113,1495,147,Sep 15,PHI,@,STL,W5-4,GS-3,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.293,.396,.483,.880,4,.98,0.003,.67,0.00%,-0.08,4.00,6.70,1B
114,1496,148,Sep 16,PHI,@,STL,W6-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.393,.479,.872,3,.46,-0.051,.25,-0.02%,-0.83,0.00,0.00,1B
115,1497,149,Sep 17,PHI,@,STL,L5-6,CG,5,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.291,.395,.480,.875,3,1.60,-0.037,.58,-0.01%,0.31,11.00,15.20,DH
116,1498,150,Sep 18,PHI,@,ATL,W7-1,CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.290,.395,.485,.880,3,.66,0.122,.33,0.04%,1.29,16.00,21.70,1B
117,1499,151,Sep 19,PHI,@,ATL,L3-9,CG,4,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.290,.394,.490,.884,3,.57,-0.031,.18,-0.01%,1.57,18.00,25.70,1B
118,1500,152,Sep 20,PHI,@,ATL,W6-5,CG(10),5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.287,.392,.485,.877,3,1.45,-0.115,.65,-0.03%,-1.52,9.00,12.20,DH
119,1501,153,Sep 21,PHI,,NYM,W5-4,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.289,.393,.485,.878,4,1.05,0.038,.24,0.01%,0.46,8.00,9.20,1B
120,1502,154,Sep 22,PHI,,NYM,W5-4,CG(10),5,2,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,.290,.397,.485,.882,3,1.31,0.067,.19,0.01%,0.84,11.00,15.20,1B
121,1503,155,Sep 23,PHI,,NYM,W7-5,CG,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.292,.398,.492,.890,4,.93,0.173,.07,0.01%,2.19,21.00,28.70,DH
122,1504,156,Sep 24,PHI,,NYM,W5-2,CG,4,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.292,.398,.491,.890,3,.66,0.035,.04,0.00%,0.82,9.00,12.70,1B
123,1505,157,Sep 26,PHI,,PIT,W3-2,CG(10),4,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,.292,.399,.490,.889,3,1.22,0.002,.05,0.00%,0.10,6.00,9.50,1B
124,1506,158,Sep 27,PHI,,PIT,W7-6,CG,4,4,2,3,2,0,1,1,0,0,1,0,0,0,0,0,1,0,.296,.402,.503,.905,3,.83,0.330,.03,0.01%,1.58,31.00,39.90,1B
125,1507,159,Sep 28,PHI,,PIT,L2-3,GS-4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.295,.402,.502,.904,3,.87,0.006,.04,0.00%,0.21,2.00,3.00,1B
126,1508,160,Sep 30 (1),PHI,@,NYM,L3-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.293,.401,.499,.900,3,.82,-0.070,.04,0.00%,-0.89,2.00,3.00,1B
,,,,,,,72-54,,546,457,84,134,29,1,21,72,80,8,119,5,0,4,1,10,11,3,.293,.401,.499,.900,,1.03,5.801,.86,2.42%,32.29,1149.00,1525.80,
